CodParticipacion|FechaReg|CodRemitente|CodIntegrante|Participacion|CodCargo|CodCargo2
1|41176|1|2|39.78|7|7
2|41176|1|3|29.52|7|7
3|41176|1|4|16.37|7|7
5|41176|1|6|0.00|2|7
7|41176|1|8|0.00|3|7
11|41177|1|12|0.00|5|7
12|41177|1|13|0.00|5|7
15|41180|15|1|99.99|7|7
17|41180|15|16|0.00|4|7
21|41185|19|1|100.00|7|7
22|41185|19|6|0.00|2|7
24|41185|19|20|0.00|3|7
25|41185|19|21|0.00|3|7
26|41185|19|17|0.00|4|7
28|41185|22|6|0.00|2|7
29|41185|22|17|0.00|3|7
31|41185|22|20|0.00|3|7
32|41185|22|21|0.00|3|7
40|41185|31|22|99.99|7|7
47|41185|37|19|100.00|7|7
52|41185|37|8|0.00|3|7
53|41185|37|17|0.00|3|4
54|41185|40|37|13.74|7|7
58|41185|40|17|0.00|3|7
59|41185|40|21|0.00|3|7
64|41185|43|8|0.00|2|7
65|41185|43|17|0.00|3|7
67|41185|43|21|0.00|3|7
69|41185|43|45|0.00|3|7
70|41185|43|6|0.00|3|7
72|41185|43|47|0.00|5|7
77|41185|52|19|100.00|7|7
80|41185|52|17|0.00|3|5
82|41185|55|52|99.99|7|7
85|41185|55|17|0.00|3|7
86|41185|55|21|0.00|3|7
87|41185|55|20|0.00|3|7
93|41185|58|19|100.00|7|7
97|41185|59|58|98.79|7|7
98|41185|59|17|0.00|3|7
104|41185|61|19|56.05|7|7
107|41185|61|63|6.76|7|7
109|41185|61|6|0.00|2|7
113|41185|61|17|0.00|4|7
138|41186|77|61|100.00|7|7
141|41186|77|17|0.00|3|4
142|41186|78|1|99.99|7|7
154|41186|64|1|53.71|7|7
158|41186|64|8|0.00|3|7
162|41186|64|12|0.00|5|7
163|41186|64|13|0.00|5|7
164|41186|90|1|88.10|7|7
170|41192|93|64|91.50|7|7
171|41192|93|8|0.00|2|7
172|41192|93|45|0.00|3|7
173|41192|93|6|0.00|3|7
174|41192|93|9|0.00|3|7
175|41192|93|95|0.00|3|7
176|41192|93|96|0.00|3|7
177|41192|93|60|0.00|4|7
178|41192|93|97|0.00|5|7
207|41197|108|64|99.03|7|7
209|41197|108|6|0.00|2|7
211|41197|108|9|0.00|3|7
215|41197|108|23|0.00|3|7
218|41197|108|8|0.00|3|7
220|41197|108|114|0.00|3|7
221|41197|108|115|0.00|5|7
226|41197|108|119|0.00|5|7
227|41197|108|120|0.00|5|7
228|41197|108|121|0.00|5|7
230|41197|108|123|0.00|5|7
231|41197|126|108|99.99|7|7
242|41197|133|134|99.00|7|7
243|41197|133|6|0.00|2|7
244|41197|133|135|0.00|3|7
245|41197|133|136|0.00|3|7
246|41197|133|20|0.00|3|7
247|41197|133|34|0.00|3|7
248|41197|133|137|0.00|4|7
249|41197|138|139|80.00|7|7
250|41197|138|140|10.00|7|7
251|41197|138|141|10.00|7|7
252|41197|138|6|0.00|2|7
253|41197|138|34|0.00|3|7
254|41197|138|54|0.00|3|7
255|41197|138|142|0.00|4|7
256|41197|134|143|51.00|7|7
257|41197|134|144|49.00|7|7
258|41197|134|6|0.00|2|7
259|41197|134|135|0.00|3|7
260|41197|134|136|0.00|3|7
261|41197|134|20|0.00|3|7
262|41197|145|15|99.99|7|7
269|41197|147|6|0.00|3|7
270|41197|147|9|0.00|3|7
272|41197|148|1|100.00|7|7
273|41197|148|6|0.00|2|7
275|41197|148|8|0.00|3|7
294|41197|161|1|99.99|7|7
296|41197|162|1|100.00|7|7
298|41197|164|162|100.00|7|7
299|41197|164|163|0.00|3|4
300|41198|165|15|99.99|7|7
301|41198|165|16|0.00|5|7
307|41198|169|90|33.99|7|7
308|41198|169|170|2.00|3|7
309|41198|169|6|0.00|2|7
312|41198|169|20|0.00|3|7
313|41198|169|171|0.00|3|7
314|41198|169|172|0.00|3|7
321|41198|174|17|0.00|3|7
330|41198|178|90|69.97|7|7
332|41198|179|108|100.00|7|7
337|41198|179|183|0.00|5|7
340|41198|186|178|99.99|7|7
347|41198|189|178|99.99|7|7
352|41198|63|8|0.00|3|7
354|41198|63|83|0.00|2|7
355|41198|63|85|0.00|3|7
362|41198|124|114|0.00|3|7
367|41198|124|196|0.00|5|7
373|41198|128|108|100.00|7|7
376|41198|128|120|0.00|3|7
385|41213|61|21|0.00|3|7
389|41241|128|119|0.00|3|7
397|41283|93|17|0.00|3|7
418|41288|64|120|0.00|5|7
424|41289|63|147|99.99|7|7
427|41309|82|147|99.99|7|7
430|41352|43|20|0.00|3|7
436|41367|174|20|0.00|3|7
